6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Minitriathlon		Giovanile | 
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Sprint		Silver | 
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Youth		Giovanile | 
6° TRIATHLON SPRINT LAGO DI MIGNANO - MEMORIAL ALESSANDRO REPETTI | 28-06-2026 | Vernasca (Piacenza) | Emilia-Romagna | Triathlon		Silver | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Kids		Giovanile | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Minitriathlon		Giovanile | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Super Sprint		Giovanile | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Youth		Giovanile | 
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | Duathlon Kids		Giovanile | 
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | Duathlon Super Sprint		Paratriathlon | 
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | Duathlon Youth		Giovanile | 
9° LIGNANO “EYOF EUROPEAN TEST EVENT” TRIATHLON MEMORIAL ARDITO | 25-04-2026 | Lignano Sabbiadoro (Udine) | Friuli-Venezia Giulia | Triathlon Sprint		Silver | 
9° TRIATHLON SPRINT CITTA' DI SALO' | 24-05-2026 | Sò (Brescia) | Lombardia | Triathlon Sprint		Gold | 
ADRIATIC SERIES DUATHLON SPRINT TOLENTINO | 29-03-2026 | Tolentino (Macerata) | Marche | Duathlon Sprint		Silver | 
ADRIATIC SERIES TRIATHLON CESENATICO ITALIA | 18-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | Triathlon Atipico | 
ADRIATIC SERIES TRIATHLON CESENATICO ITALIA | 18-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | Triathlon Olimpico		Silver | 
ADRIATIC SERIES TRIATHLON CESENATICO ITALIA | 18-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | Triathlon Sprint		Silver | 
ADRIATIC SERIES TRIATHLON CUPRA MARITTIMA | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | Triathlon Atipico | 
ADRIATIC SERIES TRIATHLON CUPRA MARITTIMA | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | Triathlon Olimpico		Gold | 
ADRIATIC SERIES TRIATHLON CUPRA MARITTIMA | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | Triathlon Sprint		Silver | 
ADRIATIC SERIES TRIATHLON OLIMPICO CITTÀ DI VIESTE | 07-06-2026 | Vieste (Foggia) | Puglia | Triathlon Olimpico		Gold | 
ADRIATIC SERIES TRIATHLON SPRINT SILVER GROTTAMMARE (AP) | 17-05-2026 | Grottammare (Ascoli Piceno) | Marche | Triathlon Sprint		Silver | 
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | Aquathlon Classico | 
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | Aquathlon Kids		Giovanile | 
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | Aquathlon MiniAquathlon		Giovanile | 
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | Aquathlon Super Sprint		Giovanile | 
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Kids		Giovanile | 
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Sprint		Giovanile | 
