TRIATHLON MARCONI | 21-06-2026 | Sasso Marconi (Bologna) | Emilia-Romagna | Triathlon Olimpico		Silver | 
TRIATHLON MEDIO E OLIMPICO NO-DRAFT CITTÀ DI CANDIA | 10-05-2026 | Candia Canavese (Torino) | Piemonte | Triathlon Medio		Silver | 
TRIATHLON MEDIO E OLIMPICO NO-DRAFT CITTÀ DI CANDIA | 10-05-2026 | Candia Canavese (Torino) | Piemonte | Triathlon Olimpico		Silver | 
TRIATHLON OLIMPICO LAGO DI VICO | 20-06-2026 | Ronciglione (Viterbo) | Lazio | Triathlon Olimpico		Silver | 
TRIATHLON SPRINT ALTOTEVERE | 03-05-2026 | San Giustino (Perugia) | Umbria | Triathlon Sprint		Silver | 
TRIATHLON SPRINT DEI PRINCIPI | 26-04-2026 | Fossano (Cuneo) | Piemonte | Triathlon Sprint		Silver | 
TRIATHLON SPRINT DI MAZARA DEL VALLO 1.0 | 20-06-2026 | Mazara del Vlo (Trapani) | Sicilia | Triathlon Kids		Giovanile Paratriathlon | 
TRIATHLON SPRINT DI MAZARA DEL VALLO 1.0 | 20-06-2026 | Mazara del Vlo (Trapani) | Sicilia | Triathlon Sprint		Silver Paratriathlon | 
TRIATHLON SPRINT DI MAZARA DEL VALLO 1.0 | 20-06-2026 | Mazara del Vlo (Trapani) | Sicilia | Triathlon Youth		Giovanile Paratriathlon | 
TRIATHLON SPRINT NETIUM | 14-06-2026 | Giovinazzo (Bari) | Puglia | Triathlon Kids		Giovanile | 
TRIATHLON SPRINT NETIUM | 14-06-2026 | Giovinazzo (Bari) | Puglia | Triathlon Sprint		Silver | 
TRIATHLON SPRINT NETIUM | 14-06-2026 | Giovinazzo (Bari) | Puglia | Triathlon Super Sprint		Giovanile | 
VENICE CAORLE TRI 2026 | 10-05-2026 | Caorle (Venezia) | Veneto | Triathlon Olimpico		Silver | 
VENICE CAORLE TRI 2026 | 10-05-2026 | Caorle (Venezia) | Veneto | Triathlon Sprint		Silver | 
VENICE JESOLO IRONMAN 70.3 | 03-05-2026 | Jesolo (Venezia) | Veneto | Triathlon Medio		Internazionale | 
VIII TRIATHLON LE BANDIE DEGLI EROI | 17-05-2026 | Spresiano (Treviso) | Veneto | Triathlon Kids		Giovanile | 
VIII TRIATHLON LE BANDIE DEGLI EROI | 17-05-2026 | Spresiano (Treviso) | Veneto | Triathlon Minitriathlon		Giovanile | 
VIII TRIATHLON LE BANDIE DEGLI EROI | 17-05-2026 | Spresiano (Treviso) | Veneto | Triathlon Sprint		Silver | 
VIII TRIATHLON LE BANDIE DEGLI EROI | 17-05-2026 | Spresiano (Treviso) | Veneto | Triathlon Super Sprint		Giovanile | 
XTERRA EUROPEAN CHAMPIONSHIP | 20-06-2026 | Molveno (Trento) | Trentino-Alto Adige/Südtirol | Triathlon Atipico		Internazionale  Paratriathlon | 
